Brand,Model,Mileage,Transmission,Price,Year,Engine CC,Date Posted
Kia,Grand Cerato,"227,000 km",Automatic,"570,000 EGP",2010,1600,2026-05-24
Toyota,Fortuner,"105,000 km",Automatic,"795,000 EGP",2019,1600,2026-05-24
Hyundai,Elantra HD,"12,000 km",Automatic,"5,000,000 EGP",2025,2000,2026-05-24
Renault,Duster,"10,000 km",Automatic,"3,550,000 EGP",2025,1600,2026-05-24
Mercedes,CLE 200,"43,000 km",Automatic,"4,000,000 EGP",2023,2000,2026-05-24
Kia,Carnival,"190,000 km",Automatic,"720,000 EGP",2008,4000,2026-05-24
Mercedes,GLC 300,190 km,Automatic,"1,350,000 EGP",2019,1600,2026-05-24
Jeep,Cherokee,"162,500 km",Automatic,"820,000 EGP",2016,1600,2026-05-24
Peugeot,5008,"142,000 km",Automatic,"3,200,000 EGP",2018,2000,2026-05-24
Subaru,XV,"120,000 km",Automatic,"890,000 EGP",2020,1600,2026-05-24
Range Rover,Velar,"16,000 km",Automatic,"13,950,000 EGP",2023,2000,2026-05-24
Seat,Ibiza,"78,000 km",Automatic,"1,100,000 EGP",2008,3700,2026-05-24
Mercedes,G 63,"166,478 km",Automatic,"340,000 EGP",2009,2000,2026-05-24
Jeep,Cherokee,"263,000 km",Automatic,"850,000 EGP",2015,1600,2026-05-24
Speranza,Tiggo,"117,354 km",Automatic,"3,500,000 EGP",2019,4400,2026-05-24
Hyundai,IX 35,"9,000 km",Automatic,"5,550,000 EGP",2026,1500,2026-05-24
BMW,X6,"25,000 km",Automatic,"790,000 EGP",2025,1300,2026-05-24
Mercedes,E200,"175,000 km",Manual,"260,000 EGP",2015,1600,2026-05-24
Renault,Taliant,"135,000 km",Automatic,"1,620,000 EGP",2019,1500,2026-05-24
Lada,Granta,"40,000 km",Automatic,"10,250,000 EGP",2022,5000,2026-05-24
BMW,318i,"145,000 km",Automatic,"1,800,000 EGP",2017,2000,2026-05-24
Range Rover,VOGUE,"124,000 km",Automatic,"1,500,000 EGP",2015,2000,2026-05-24
Volvo,XC 90,"3,000 km",Automatic,"2,600,000 EGP",2023,1600,2026-05-24
BMW,320i,"5,000 km",Automatic,"3,200,000 EGP",2026,1400,2026-05-24
Hyundai,Azera,"255,000 km",Automatic,"550,000 EGP",2015,1600,2026-05-24
BMW,X1,"1,500 km",Automatic,"3,300,000 EGP",2025,1600,2026-05-24
Opel,Astra,"112,000 km",Automatic,"2,100,000 EGP",2022,1400,2026-05-24
Hyundai,Santa Fe,"16,000 km",Automatic,"1,630,000 EGP",2026,1600,2026-05-24
Skoda,KODIAQ,"199,000 km",Manual,"450,000 EGP",2019,1500,2026-05-24
Chery,Tiggo 8 Pro Max,"253,933 km",Automatic,"780,000 EGP",2018,1600,2026-05-24
Chevrolet,Lanos,"115,000 km",Automatic,"900,000 EGP",2016,2400,2026-05-24
Opel,Astra,"228,000 km",Automatic,"810,000 EGP",2015,1600,2026-05-24
Mitsubishi,Outlander,"135,000 km",Automatic,"675,000 EGP",2014,1600,2026-05-24
Kia,K3,"33,000 km",Automatic,"4,300,000 EGP",2023,2000,2026-05-24
Kia,Cerato,"187,000 km",Automatic,"600,000 EGP",2015,1600,2026-05-24
Mercedes,GLC 300,"62,000 km",Automatic,"1,050,000 EGP",2018,1600,2026-05-23
Mitsubishi,Lancer,"106,000 km",Automatic,"800,000 EGP",2021,1200,2026-05-23
Peugeot,508,10 km,Automatic,"2,250,000 EGP",2026,510,2026-05-23
Opel,Cross Land,"54,000 km",Automatic,"875,000 EGP",2021,1200,2026-05-23
BMW,iX1,"83,794 km",Automatic,"3,100,000 EGP",2022,4000,2026-05-23
Opel,Cross Land,"53,200 km",Automatic,"1,900,000 EGP",2021,1400,2026-05-23
Toyota,Fortuner,"230,000 km",Automatic,"490,000 EGP",2016,1600,2026-05-23
Skoda,Superb,"30,000 km",Automatic,"2,800,000 EGP",2025,1600,2026-05-23
Chevrolet,Cruze,15 km,Automatic,"2,950,000 EGP",2026,1400,2026-05-23
BMW,320i,"161,000 km",Automatic,"1,200,000 EGP",2013,1800,2026-05-23
Skoda,KODIAQ,"53,000 km",Automatic,"4,800,000 EGP",2020,3000,2026-05-23
Mercedes,C200,28 km,Automatic,"3,650,000 EGP",2022,2000,2026-05-23
Mercedes,GLC 43,"12,000 km",Automatic,"2,100,000 EGP",2023,1500,2026-05-23
Mercedes,E200,"60,000 km",Automatic,"1,700,000 EGP",2022,1500,2026-05-23
GMC,Terrain,"120,000 km",Automatic,"570,000 EGP",2017,1200,2026-05-23
Honda,CR-V,"210,000 km",Automatic,"700,000 EGP",2013,1600,2026-05-23
Renault,Captur,"10,000 km",Automatic,"7,800,000 EGP",2021,3000,2026-05-23
Nissan,Juke,"4,000 km",Automatic,"6,750,000 EGP",2025,4000,2026-05-23
BMW,M850i,"310,000 km",Automatic,"850,000 EGP",2015,1600,2026-05-23
Toyota,Land cruiser,"250,000 km",Automatic,"450,000 EGP",2011,1600,2026-05-23
BMW,316i,"285,000 km",Automatic,"620,000 EGP",2015,1600,2026-05-23
Chevrolet,Cruze,230 km,Automatic,"625,000 EGP",2004,4200,2026-05-23
Ford,Focus,"68,000 km",Automatic,"1,300,000 EGP",2015,1600,2026-05-23
Chevrolet,Trailblazer,340 km,Manual,"420,000 EGP",2019,1500,2026-05-23
Mercedes,CLA 180,"17,000 km",Automatic,"2,400,000 EGP",2024,450,2026-05-23
Geely,Emgrand,"93,000 km",Automatic,"1,250,000 EGP",2021,1600,2026-05-23
"2,400,000 EGP","D.P.1,200,000","132,000 km",Automatic,"1,500,000 EGP",2019,1400,2026-05-23
BMW,iX3,"150,000 km",Manual,"100,000 EGP",2006,1000,2026-05-23
Opel,Grand Land,"204,000 km",Automatic,"520,000 EGP",2013,1400,2026-05-23
Mercedes,CLA 180,"42,000 km",Manual,"380,000 EGP",2014,,2026-05-23
Fiat,Palio,"222,000 km",Automatic,"1,200,000 EGP",2021,1600,2026-05-23
Kia,Rio,103 km,Automatic,"980,000 EGP",2022,1200,2026-05-23
Nissan,Pick up,"250,000 km",Automatic,"400,000 EGP",2006,1600,2026-05-23
Citroen,C5 Aircross,"15,000 km",Automatic,"5,650,000 EGP",2023,700,2026-05-23
Citroen,C4,"400,000 km",Manual,"380,000 EGP",2017,,2026-05-23
Citroen,C4,"6,600 km",Automatic,"5,800,000 EGP",2025,2000,2026-05-23
Mercedes,EQS 450+,"92,000 km",Automatic,"1,350,000 EGP",2021,1600,2026-05-23
BYD,F3,"7,500 km",Automatic,"5,750,000 EGP",2025,2000,2026-05-23
Mercedes,E300,"260,000 km",Automatic,"390,000 EGP",2011,1600,2026-05-23
Peugeot,508,"35,000 km",Automatic,"4,000,000 EGP",2024,2000,2026-05-23
Audi,Q7,330 km,Manual,"425,000 EGP",2002,1600,2026-05-23
Chevrolet,Optra,"155,500 km",Automatic,"650,000 EGP",2015,1600,2026-05-23
BMW,X4,"9,000 km",Automatic,"1,265,000 EGP",2025,1600,2026-05-23
Hyundai,Matrix,"185,000 km",Automatic,"450,000 EGP",2008,1600,2026-05-23
Mitsubishi,Lancer,"104,000 km",Automatic,"5,000,000 EGP",2020,2000,2026-05-23
Seat,Ibiza,250 km,Manual,"160,000 EGP",2007,1300,2026-05-22
Hyundai,Accent,"300,000 km",Manual,"1,000,000 EGP",2021,1400,2026-05-22
Mercedes,S320,"172,000 km",Automatic,"810,000 EGP",2017,1600,2026-05-22
Zotye,Xplosion,"306,000 km",Automatic,"350,000 EGP",2004,1800,2026-05-22
Mitsubishi,L200,"280,000 km",Automatic,"560,000 EGP",2014,1400,2026-05-22
Opel,Insignia,"205,000 km",Automatic,"275,000 EGP",2012,2000,2026-05-22
Peugeot,406,"170,000 km",Automatic,"720,000 EGP",2021,1600,2026-05-22
Kia,Rio,30 km,Automatic,"5,950,000 EGP",2021,2000,2026-05-22
"275,000 EGP",Brilliance Galena 2012,"55,000 km",Automatic,"595,000 EGP",2017,1600,2026-05-22
Brilliance,Galena,"110,000 km",Automatic,"580,000 EGP",2018,1600,2026-05-22
Hyundai,Elantra HD,"145,000 km",Automatic,"850,000 EGP",2007,3700,2026-05-22
Land Rover,Range Rover,"60,000 km",Automatic,"4,950,000 EGP",2021,4000,2026-05-22
Renault,Sandero,"130,000 km",Manual,"450,000 EGP",1990,1600,2026-05-22
Renault,Captur,"100,000 km",Automatic,"1,400,000 EGP",2020,1400,2026-05-22
Jeep,Grand Cherokee,"28,000 km",Manual,"480,000 EGP",1995,1600,2026-05-22
BMW,X5,"160,000 km",Automatic,"600,000 EGP",2007,1400,2026-05-22
Mitsubishi,Colt,"30,000 km",Automatic,"680,000 EGP",1992,1600,2026-05-22
Volkswagen,Tiguan,"90,000 km",Automatic,"620,000 EGP",2017,1600,2026-05-22
Peugeot,405,"160,000 km",Automatic,"1,100,000 EGP",2012,3700,2026-05-22
Volkswagen,Jetta,"75,000 km",Automatic,"1,425,000 EGP",2020,1400,2026-05-22
Honda,Civic,"70,000 km",Automatic,"950,000 EGP",2021,1600,2026-05-22
Renault,Sandero Stepway,"110,000 km",Automatic,"725,000 EGP",2008,1600,2026-05-22
Jeep,Cherokee,"85,000 km",Automatic,"4,600,000 EGP",2020,2000,2026-05-22
Jeep,Renegade,"50,000 km",Automatic,"5,400,000 EGP",2019,,2026-05-22
MG,6,"181,000 km",Automatic,"560,000 EGP",2015,1600,2026-05-22
Volkswagen,Golf 5,"60,000 km",Automatic,"710,000 EGP",2023,1500,2026-05-22
Land Rover,Range Rover,"153,000 km",Manual,"185,000 EGP",2013,1000,2026-05-22
Toyota,Land cruiser,"37,164 km",Manual,"110,000 EGP",2002,800,2026-05-22
Renault,Fluence,"123,000 km",Automatic,"870,000 EGP",2022,1600,2026-05-22
Nissan,Sunny,"8,000 km",Automatic,"6,000,000 EGP",2023,2000,2026-05-22
Changan,Benni Mini,"65,000 km",Automatic,"5,500,000 EGP",2019,5000,2026-05-22
Suzuki,Maruti,"15,000 km",Automatic,"4,200,000 EGP",2022,2000,2026-05-22
Renault,Megane,"40,000 km",Automatic,"2,300,000 EGP",2022,1300,2026-05-22
Porsche,718 Boxster,"40,000 km",Automatic,"4,000,000 EGP",2021,2000,2026-05-22
Land Rover,Range Rover,"20,000 km",Automatic,"1,750,000 EGP",2020,1600,2026-05-22
"4,200,000 EGP","D.P.1,260,000","40,000 km",Automatic,"5,000,000 EGP",2023,3600,2026-05-22
BMW,430i Convertible,"32,000 km",Automatic,"2,800,000 EGP",2023,2000,2026-05-22
Mercedes,CLA 200,"5,000 km",Automatic,"3,500,000 EGP",2026,1600,2026-05-22
Porsche,Macan,"115,000 km",Automatic,"1,800,000 EGP",2021,1400,2026-05-22
Peugeot,5008,"8,000 km",Automatic,"780,000 EGP",2022,1100,2026-05-22
Jeep,Grand Cherokee,185 km,Manual,"250,000 EGP",2018,1600,2026-05-22
Audi,A5,125 km,Automatic,"530,000 EGP",2014,1300,2026-05-22
BMW,320i,"255,000 km",Automatic,"1,150,000 EGP",2014,1600,2026-05-22
Audi,Q3,"59,000 km",Automatic,"2,250,000 EGP",2022,1400,2026-05-22
Suzuki,Swift,"200,000 km",Automatic,"780,000 EGP",2013,1800,2026-05-22
Lada,Granta,20 km,Manual,"220,000 EGP",1995,1600,2026-05-21
Kia,Picanto,"20,000 km",Automatic,"9,500,000 EGP",2021,3000,2026-05-21
Mercedes,C180,"35,610 km",Automatic,"6,100,000 EGP",2024,4400,2026-05-21
Audi,Q3,"57,000 km",Automatic,"1,650,000 EGP",2021,1600,2026-05-21
Audi,A4,"114,000 km",Automatic,"700,000 EGP",2021,1500,2026-05-21
Peugeot,405,"105,000 km",Automatic,"7,000,000 EGP",2020,5000,2026-05-21
Mercedes,S500,"30,000 km",Automatic,"1,120,000 EGP",2024,1500,2026-05-21
BMW,X5,"13,000 km",Automatic,"1,800,000 EGP",2023,1500,2026-05-21
Kia,Cerato,"62,000 km",Automatic,"1,350,000 EGP",2020,1000,2026-05-21
Hyundai,Accent RB,"168,500 km",Automatic,"530,000 EGP",2009,1600,2026-05-21
Range Rover,VOGUE,"180,000 km",Automatic,"850,000 EGP",2008,4000,2026-05-21
Haval,JOLION,"133,000 km",Automatic,"1,100,000 EGP",2019,1600,2026-05-21
Honda,ZR-V,60 km,Automatic,"980,000 EGP",2025,1600,2026-05-21
Audi,Q2,900 km,Automatic,"2,500,000 EGP",2024,1600,2026-05-21
Hyundai,Matrix,"34,000 km",Automatic,"5,650,000 EGP",2026,2000,2026-05-21
BMW,740Li,"300,000 km",Automatic,"490,000 EGP",2009,1600,2026-05-21
Peugeot,3008,"110,000 km",Automatic,"5,500,000 EGP",2021,2000,2026-05-21
"980,000 EGP","D.P.490,000","55,555 km",Automatic,"350,000 EGP",1997,4000,2026-05-21
Hyundai,Accent RB,"250,000 km",Manual,"285,000 EGP",1992,1600,2026-05-21
GMC,Terrain,"375,000 km",Automatic,"320,000 EGP",2007,1600,2026-05-21
Mercedes,GLC 300,"125,000 km",Automatic,"730,000 EGP",2021,1400,2026-05-21
Mitsubishi,Lancer,"175,000 km",Automatic,"1,180,000 EGP",2022,1600,2026-05-21
Land Rover,Range Rover,"10,500 km",Automatic,"15,500,000 EGP",2024,4000,2026-05-21
Jeep,Cherokee,230 km,Automatic,"600,000 EGP",2012,1500,2026-05-21
BMW,316i,297 km,Automatic,"510,000 EGP",2018,1500,2026-05-21
Daewoo,Nubira,300 km,Automatic,"4,200,000 EGP",2025,1500,2026-05-21
Opel,Astra,"351,000 km",Automatic,"430,000 EGP",2011,1600,2026-05-21
Peugeot,5008,"130,000 km",Automatic,"1,100,000 EGP",2011,5700,2026-05-21
Mercedes,G 63,"40,000 km",Automatic,"1,750,000 EGP",2024,1600,2026-05-21
Daihatsu,Terios,"240,000 km",Manual,"230,000 EGP",2005,1600,2026-05-21
Nissan,Sunny,"35,000 km",Automatic,"8,350,000 EGP",2022,4000,2026-05-21
Mercedes,C200,"205,000 km",Manual,"155,000 EGP",1994,1600,2026-05-21
Nissan,Tiida,"200,000 km",Manual,"590,000 EGP",2012,1600,2026-05-21
Jeep,Grand Cherokee,"311,000 km",Manual,"500,000 EGP",2021,1200,2026-05-21
Citroen,C5 Aircross,"80,000 km",Automatic,"998,000 EGP",2024,1500,2026-05-21
Opel,Corsa,"98,000 km",Automatic,"499,999 EGP",2017,1200,2026-05-21
Porsche,Cayenne Coupe,"114,000 km",Automatic,"470,000 EGP",2022,1500,2026-05-21
Opel,Corsa,"45,000 km",Manual,"180,000 EGP",2006,1000,2026-05-21
Skoda,Fantasia,"19,300 km",Automatic,"2,150,000 EGP",2024,1600,2026-05-21
Chevrolet,N300,"15,000 km",Automatic,"1,200,000 EGP",2024,,2026-05-21
Chery,Tiggo 8,"125,000 km",Manual,"390,000 EGP",2016,1600,2026-05-21
Renault,Captur,"40,000 km",Automatic,"2,300,000 EGP",2023,1300,2026-05-21
Changan,Alsvin,"60,000 km",Automatic,"980,000 EGP",2022,1500,2026-05-21
Chevrolet,Spark,"100,000 km",Manual,"230,000 EGP",2006,1300,2026-05-21
"2,150,000 EGP","D.P.1,075,000","167,000 km",Automatic,"600,000 EGP",2013,1500,2026-05-21
Peugeot,5008,221 km,Automatic,"640,000 EGP",2008,3700,2026-05-20
Toyota,Raize,98 km,Automatic,"350,000 EGP",1991,2000,2026-05-20
Renault,Logan,"325,000 km",Automatic,"420,000 EGP",2010,1600,2026-05-20
Mercedes,A200,"153,000 km",Manual,"340,000 EGP",2011,1400,2026-05-20
Honda,City,"86,000 km",Automatic,"780,000 EGP",2021,1500,2026-05-20
Chana,Benni,"220,000 km",Automatic,"1,200,000 EGP",2018,1600,2026-05-20
Peugeot,508,"53,000 km",Automatic,"1,900,000 EGP",2021,1400,2026-05-20
Jeep,Cherokee,345 km,Manual,"175,000 EGP",2000,1300,2026-05-20
BMW,520i,"4,000 km",Automatic,"2,200,000 EGP",2026,1600,2026-05-20
Mazda,3,"150,000 km",Automatic,"1,650,000 EGP",2017,3000,2026-05-20
Renault,Logan,"370,000 km",Automatic,"650,000 EGP",2013,1600,2026-05-20
MG,5,"325,000 km",Manual,"600,000 EGP",2005,1600,2026-05-20
Kia,Sportage,"360,000 km",Automatic,"550,000 EGP",2008,2500,2026-05-20
Skoda,Superb,"73,000 km",Automatic,"850,000 EGP",2020,1600,2026-05-20
Nissan,Sunny,"83,000 km",Automatic,"660,000 EGP",2019,1600,2026-05-20
Peugeot,408,"80,000 km",Automatic,"1,550,000 EGP",2022,1400,2026-05-20
BMW,X3,"40,000 km",Automatic,"1,850,000 EGP",2016,1600,2026-05-20
Skoda,Fantasia,"150,000 km",Automatic,"1,050,000 EGP",2019,1600,2026-05-20
Toyota,Corolla,"173,000 km",Automatic,"770,000 EGP",2012,1600,2026-05-20
Nissan,X-Trail,"100,000 km",Automatic,"500,000 EGP",2009,1300,2026-05-20
Fiat,Tipo,"230,000 km",Manual,"230,000 EGP",2001,1400,2026-05-20
Proton,Preve,176 km,Automatic,"350,000 EGP",2009,1600,2026-05-20
Skoda,Octavia,"330,000 km",Manual,"265,000 EGP",2014,1500,2026-05-20
Peugeot,RCZ,195 km,Automatic,"970,000 EGP",2016,1400,2026-05-20
Opel,Grand Land,"17,500 km",Automatic,"155,000 EGP",1994,1500,2026-05-20
Skoda,Fantasia,"188,000 km",Automatic,"510,000 EGP",2007,1600,2026-05-20
"500,000 EGP",Toyota Yaris 2009,"20,000 km",Automatic,"5,400,000 EGP",2025,2000,2026-05-20
Toyota,Yaris,"4,500 km",Automatic,"1,500,000 EGP",2026,1500,2026-05-20
Seat,Ibiza,"120,000 km",Automatic,"1,250,000 EGP",2017,1600,2026-05-20
Nissan,Livina,"72,000 km",Automatic,"2,100,000 EGP",2016,1600,2026-05-20
Geely,Emgrand 7,"218,000 km",Automatic,"1,200,000 EGP",2012,5700,2026-05-20
Volkswagen,Tiguan,"172,000 km",Automatic,"700,000 EGP",2016,1600,2026-05-20
Hyundai,Accent,"187,000 km",Automatic,"400,000 EGP",2006,1600,2026-05-20
Hyundai,Elantra HD,"19,300 km",Automatic,"7,000,000 EGP",2022,500,2026-05-20
Mercedes,GLC 300,"28,000 km",Automatic,"3,450,000 EGP",2024,1500,2026-05-20
Chery,Tiggo 7 Pro Max,"50,000 km",Manual,"260,000 EGP",2012,1600,2026-05-20
Kia,Sportage,"130,000 km",Automatic,"750,000 EGP",2021,1500,2026-05-20
Mercedes,E 180,"416,000 km",Automatic,"360,000 EGP",2008,1600,2026-05-20
Jeep,Grand Cherokee,"135,000 km",Automatic,"2,600,000 EGP",2020,2000,2026-05-20
Renault,Fluence,"250,000 km",Manual,"125,000 EGP",1974,2000,2026-05-20
Skoda,Octavia A5,"54,000 km",Automatic,"600,000 EGP",2016,1600,2026-05-20
Mercedes,EQS,"20,000 km",Automatic,"850,000 EGP",2024,1600,2026-05-20
Mercedes,C180,"150,000 km",Automatic,"750,000 EGP",2016,1600,2026-05-20
Speranza,A516,"245,000 km",Automatic,"750,000 EGP",2010,1600,2026-05-20
MG,5,"111,000 km",Automatic,"2,200,000 EGP",2020,1500,2026-05-20
Opel,Vectra,"191,000 km",Automatic,"780,000 EGP",2016,1600,2026-05-20
Mercedes,E200,"232,000 km",Automatic,"590,000 EGP",2006,3800,2026-05-19
Peugeot,504,"136,000 km",Automatic,"500,000 EGP",2017,1500,2026-05-19
Chevrolet,Cruze,"182,000 km",Automatic,"1,000,000 EGP",2012,3000,2026-05-19
Chery,Tiggo 3,"3,000 km",Automatic,"980,000 EGP",2026,1500,2026-05-19
Kia,Cerato,"53,000 km",Automatic,"1,250,000 EGP",2024,,2026-05-19
Honda,Civic,"69,700 km",Automatic,"2,000,000 EGP",2017,2000,2026-05-19
Mercedes,C180,"140,000 km",Automatic,"4,250,000 EGP",2020,5400,2026-05-19
Subaru,XV,"127,000 km",Manual,"175,000 EGP",2009,1300,2026-05-19
Kia,Carnival,"207,000 km",Automatic,"495,000 EGP",2017,1600,2026-05-19
Chevrolet,Optra,"120,000 km",Manual,"400,000 EGP",2022,1400,2026-05-19
BMW,X3,"33,000 km",Manual,"800,000 EGP",2025,1400,2026-05-19
Hyundai,Accent RB,"178,000 km",Automatic,"625,000 EGP",2020,1400,2026-05-19
GAC,EMKOO,"125,000 km",Automatic,"790,000 EGP",2017,1400,2026-05-19
BMW,X3,"160,000 km",Automatic,"1,300,000 EGP",2017,1400,2026-05-19
BMW,X7,"259,000 km",Automatic,"620,000 EGP",2008,1600,2026-05-19
Speranza,A113,"28,000 km",Automatic,"3,800,000 EGP",2020,2000,2026-05-19
Chevrolet,Cruze,"230,000 km",Automatic,"380,000 EGP",2010,1600,2026-05-19
Changan,Alsvin,"160,000 km",Automatic,"1,400,000 EGP",2014,2000,2026-05-19
Fiat,Tipo,"97,000 km",Automatic,"820,000 EGP",2021,1600,2026-05-19
Opel,Astra,"155,000 km",Automatic,"950,000 EGP",2013,3700,2026-05-19
Alfa Romeo,Mito,"3,000 km",Automatic,"850,000 EGP",2025,1500,2026-05-19
Volkswagen,Tiguan,"120,000 km",Automatic,"1,250,000 EGP",2021,1400,2026-05-19
Volkswagen,Jetta,"160,000 km",Automatic,"800,000 EGP",2018,1600,2026-05-19
Mercedes,GLC 300,"6,000 km",Automatic,"3,900,000 EGP",2023,2000,2026-05-19
Ford,Focus,"27,000 km",Automatic,"9,450,000 EGP",2023,4000,2026-05-19
BMW,520i,"45,000 km",Automatic,"7,800,000 EGP",2022,5000,2026-05-19
Renault,Megane,"85,000 km",Automatic,"3,000,000 EGP",2020,2000,2026-05-19
Jeep,Cherokee,"99,000 km",Automatic,"3,000,000 EGP",2019,2000,2026-05-19
Geely,GX3 PRO,"8,000 km",Automatic,"3,900,000 EGP",2024,2000,2026-05-19
Skoda,Octavia,"260,000 km",Automatic,"850,000 EGP",2015,1600,2026-05-19
Kia,Grand Cerato,127 km,Automatic,"435,000 EGP",2003,1600,2026-05-19
Range Rover,Evoque,"188,300 km",Automatic,"520,000 EGP",2015,1600,2026-05-19
Mercedes,S580,"160,000 km",Automatic,"900,000 EGP",2016,1600,2026-05-19
"7,800,000 EGP","D.P.3,120,000","239,000 km",Manual,"380,000 EGP",2007,1300,2026-05-19
Range Rover,SVR,"140,000 km",Automatic,"1,900,000 EGP",2013,3600,2026-05-19
Mercedes,E200,"107,000 km",Automatic,"2,050,000 EGP",2019,2000,2026-05-19
Mercedes,E200,"280,000 km",Automatic,"440,000 EGP",2002,1900,2026-05-19
Volkswagen,Touareg,"73,500 km",Manual,"345,000 EGP",2019,800,2026-05-19
Toyota,Corolla,"50,000 km",Automatic,"850,000 EGP",2021,1600,2026-05-19
Skoda,Octavia A4,"94,000 km",Automatic,"560,000 EGP",2016,1600,2026-05-19
Ford,Fiesta,140 km,Automatic,"500,000 EGP",2015,1600,2026-05-19
Kia,Carens,"60,000 km",Manual,"220,000 EGP",1999,1500,2026-05-19
Mitsubishi,Lancer Puma,"30,000 km",Automatic,"1,000,200 EGP",2022,1500,2026-05-19
Jeep,Wrangler,"35,000 km",Automatic,"5,650,000 EGP",2026,2000,2026-05-19
BMW,520i,"200,000 km",Automatic,"340,000 EGP",2001,1500,2026-05-19
BMW,318i,"130,000 km",Manual,"220,000 EGP",2009,1600,2026-05-18
Suzuki,Alto,"194,000 km",Automatic,"385,000 EGP",2006,1500,2026-05-18
Renault,Duster,"270,000 km",Automatic,"800,000 EGP",2008,2500,2026-05-18
SsangYong,Tivoli,"132,000 km",Automatic,"930,000 EGP",2019,1600,2026-05-18
Peugeot,508 GT MAX,"100,000 km",Automatic,"725,000 EGP",2022,1500,2026-05-18
Hyundai,Accent,"5,400 km",Automatic,"1,300,000 EGP",2023,1600,2026-05-18
Chevrolet,Captiva,"450,000 km",Manual,"450,000 EGP",2018,1500,2026-05-18
Mercedes,GLC 300,"113,000 km",Automatic,"575,000 EGP",2019,1600,2026-05-18
Kia,Spectra,"153,000 km",Automatic,"1,700,000 EGP",2013,2000,2026-05-18
Chevrolet,Lanos,"49,000 km",Automatic,"4,250,000 EGP",2022,3000,2026-05-18
Chevrolet,Aveo,"28,500 km",Automatic,"1,300,000 EGP",2022,1600,2026-05-18
BMW,523i,"200,000 km",Automatic,"2,200,000 EGP",2017,1600,2026-05-18
Subaru,Impreza,"198,000 km",Automatic,"430,000 EGP",2008,1400,2026-05-18
Nissan,Sunny,"270,000 km",Automatic,"550,000 EGP",2013,1600,2026-05-18
Chery,Tiggo 8 PRO,59 km,Manual,"350,000 EGP",2016,1300,2026-05-18
"450,000 EGP",BYD F3 2018,"41,000 km",Automatic,"2,700,000 EGP",2023,1500,2026-05-18
BYD,F3,162 km,Automatic,"830,000 EGP",2019,1200,2026-05-18
Proton,Preve,"70,000 km",Automatic,"8,700,000 EGP",2020,3000,2026-05-18
Land Rover,Range Rover Evoque,"54,000 km",Automatic,"9,200,000 EGP",2020,3000,2026-05-18
Audi,Q8,"47,000 km",Automatic,"6,900,000 EGP",2017,3000,2026-05-18
Kia,Grand Cerato,"19,999 km",Manual,"35,000 EGP",1984,1000,2026-05-18
Mercedes,E 180,"245,000 km",Automatic,"100,100 EGP",2013,3800,2026-05-18
Toyota,Yaris,"1,500 km",Automatic,"1,500,000 EGP",2026,580,2026-05-18
Nissan,X-Trail,"244,000 km",Automatic,"450,000 EGP",2015,1400,2026-05-18
Geely,Pandino,"11,500 km",Automatic,"3,000,000 EGP",2025,1500,2026-05-18
Mercedes,C180,"20,000 km",Automatic,"640,000 EGP",2019,1600,2026-05-18
Nissan,Qashqai,"7,700 km",Automatic,"940,000 EGP",2026,1500,2026-05-18
Range Rover,VOGUE,"100,000 km",Automatic,"210,000 EGP",1998,2000,2026-05-18
Range Rover,VOGUE,"220,000 km",Manual,"400,000 EGP",2000,1400,2026-05-18
Mercedes,S400,"20,000 km",Manual,"200,000 EGP",2007,1200,2026-05-18
Fiat,127,"195,000 km",Manual,"450,000 EGP",2017,1500,2026-05-18
Jeep,Wrangler,"100,000 km",Automatic,"2,750,000 EGP",2019,2000,2026-05-18
Arcfox,Alpha S5,"55,000 km",Automatic,"810,000 EGP",2021,1500,2026-05-18
Kia,Rio,"142,000 km",Automatic,"2,650,000 EGP",2020,2000,2026-05-18
BMW,X2,"45,000 km",Automatic,"2,250,000 EGP",2022,1300,2026-05-18
Hyundai,Accent,"320,000 km",Automatic,"610,000 EGP",2011,1600,2026-05-18
BAIC,U5 Plus,"97,000 km",Automatic,"975,000 EGP",2019,1200,2026-05-18
Peugeot,405,"69,500 km",Automatic,"720,000 EGP",2022,1600,2026-05-18
Volkswagen,Golf,"59,000 km",Automatic,"1,150,000 EGP",2021,1200,2026-05-18
Kia,Carnival,"360,000 km",Automatic,"550,000 EGP",2000,4000,2026-05-18
Chevrolet,Lanos,"20,000 km",Manual,"60,000 EGP",1987,1100,2026-05-18
Mercedes,E200,"60,880 km",Automatic,"845,000 EGP",2022,1500,2026-05-18
Ford,Focus,"33,033 km",Manual,"845,000 EGP",2025,1500,2026-05-18
Mercedes,E200,"45,000 km",Automatic,"600,000 EGP",2014,1600,2026-05-18
Mercedes,GLA 200,"100,000 km",Automatic,"1,000,000 EGP",2022,1000,2026-05-18
Skoda,Fantasia,"210,000 km",Automatic,"875,000 EGP",2021,1600,2026-05-17
Nissan,Qashqai,"110,000 km",Automatic,"1,200,000 EGP",2018,1500,2026-05-17
Fiat,Tipo,"216,092 km",Manual,"495,000 EGP",2021,1500,2026-05-17
Nissan,Qashqai,"192,000 km",Automatic,"2,200,000 EGP",2019,2000,2026-05-17
Jeep,Grand Cherokee,"156,000 km",Automatic,"850,000 EGP",2021,1500,2026-05-17
Fiat,128 nova,"2,000 km",Automatic,"5,400,000 EGP",2025,2000,2026-05-17
